date,pm2.5,pm10,temp,humidity
2019.9.16 19:14,2,3,25.8,52.1
2019.9.16 19:14,2,4,25.8,52.1
2019.9.16 19:15,2,4,25.9,52.2
2019.9.16 19:15,2,3,25.9,52.2
2019.9.16 19:15,2,3,25.8,52.1
2019.9.16 19:15,2,3,25.8,52.1
2019.9.16 19:15,2,3,25.8,52.1
2019.9.16 19:15,3,3,25.8,52.1
2019.9.16 19:15,3,3,25.9,52.2
2019.9.16 19:15,3,3,25.8,52.1
2019.9.16 19:15,3,3,25.8,52
2019.9.16 19:15,2,2,25.8,52
2019.9.16 19:15,2,2,25.9,51.9
2019.9.16 19:15,2,2,25.8,51.8
2019.9.16 19:16,2,2,25.8,51.6
2019.9.16 19:16,3,3,25.9,51.6
2019.9.16 19:16,2,2,25.8,51.5
2019.9.16 19:16,2,3,25.9,51.6
2019.9.16 19:16,2,3,25.9,51.6
2019.9.16 19:16,3,6,25.9,51.6
2019.9.16 19:16,3,6,25.9,51.6
2019.9.16 19:16,2,4,25.8,51.6
2019.9.16 19:16,2,4,25.8,51.6
2019.9.16 19:16,3,5,25.9,51.7
2019.9.16 19:16,3,5,25.9,51.7
2019.9.16 19:16,2,3,25.8,51.6
2019.9.16 19:17,1,2,25.9,51.7
2019.9.16 19:17,3,3,25.9,51.7
2019.9.16 19:17,3,3,25.9,51.7
2019.9.16 19:17,4,4,25.8,51.7
2019.9.16 19:17,4,4,25.9,51.8
2019.9.16 19:17,2,2,25.9,51.8
2019.9.16 19:17,2,2,25.8,51.7
2019.9.16 19:17,2,2,25.9,51.8
2019.9.16 19:17,2,2,25.8,51.7
2019.9.16 19:17,1,2,25.9,51.8
2019.9.16 19:17,2,3,25.9,51.8
2019.9.16 19:17,2,3,25.8,51.7
2019.9.16 19:18,2,3,25.9,51.8
2019.9.16 19:18,5,5,25.9,51.8
2019.9.16 19:18,5,5,25.8,51.8
2019.9.16 19:18,4,4,25.9,51.9
2019.9.16 19:18,4,4,25.8,51.8
2019.9.16 19:18,6,6,25.9,51.9
2019.9.16 19:18,6,6,25.9,51.9
2019.9.16 19:18,4,4,25.9,51.9
2019.9.16 19:18,4,4,25.9,51.9
2019.9.16 19:18,3,3,25.9,51.9
2019.9.16 19:18,3,3,25.9,52
2019.9.16 19:18,2,2,25.9,52
2019.9.16 19:19,2,2,25.9,51.9
2019.9.16 19:19,2,2,25.9,51.9
2019.9.16 19:19,2,2,25.9,51.9
2019.9.16 19:19,2,2,25.8,51.8
2019.9.16 19:19,2,2,25.9,51.9
2019.9.16 19:19,2,2,25.9,51.8
2019.9.16 19:19,2,2,25.9,51.9
2019.9.16 19:19,3,3,25.9,51.9
2019.9.16 19:19,3,3,25.9,51.8
2019.9.16 19:19,3,3,25.9,51.8
2019.9.16 19:19,3,3,25.9,51.8
2019.9.16 19:19,3,3,25.9,51.8
2019.9.16 19:20,3,3,25.9,51.8
2019.9.16 19:20,3,3,25.9,51.8
2019.9.16 19:20,3,3,25.9,51.8
2019.9.16 19:20,3,5,25.9,51.8
2019.9.16 19:20,3,5,25.9,51.7
2019.9.16 19:20,4,6,25.9,51.6
2019.9.16 19:20,4,6,25.9,51.6
2019.9.16 19:20,4,6,25.9,51.6
2019.9.16 19:20,4,6,25.9,51.6
2019.9.16 19:20,4,4,25.9,51.6
2019.9.16 19:20,4,4,25.9,51.6
2019.9.16 19:20,3,3,25.9,51.6
2019.9.16 19:21,3,3,25.9,51.7
2019.9.16 19:21,3,3,25.9,51.7
2019.9.16 19:21,3,3,25.9,51.7
2019.9.16 19:21,3,3,25.9,51.7
2019.9.16 19:21,3,3,25.9,51.8
2019.9.16 19:21,3,3,25.9,51.8
2019.9.16 19:21,3,3,25.9,51.7
2019.9.16 19:21,3,3,25.9,51.7
2019.9.16 19:21,3,3,25.9,51.6
2019.9.16 19:21,2,2,25.9,51.6
2019.9.16 19:21,2,2,25.9,51.6
2019.9.16 19:21,3,3,25.9,51.6
2019.9.16 19:22,3,3,25.9,51.6
2019.9.16 19:22,3,3,25.9,51.6
2019.9.16 19:22,3,3,25.9,51.7
2019.9.16 19:22,3,3,25.9,51.7
2019.9.16 19:22,3,3,25.9,51.7
2019.9.16 19:22,2,2,25.9,51.7
2019.9.16 19:22,2,2,25.9,51.7
2019.9.16 19:22,2,2,25.9,51.7
