datetime,pm2.5,pm10,temperature,humidity
2020-12-11 21:37:41,25,29,23.5,29.0
2020-12-11 21:37:46,24,29,23.5,29.0
2020-12-11 21:37:52,25,28,23.5,29.0
2020-12-11 21:37:57,25,31,23.5,29.0
2020-12-11 21:38:02,24,31,23.5,29.0
2020-12-11 21:38:08,23,32,23.5,29.0
2020-12-11 21:38:13,24,33,23.5,29.0
2020-12-11 21:38:18,26,33,23.5,29.0
2020-12-11 21:38:24,22,26,23.5,29.0
2020-12-11 21:38:29,22,28,23.5,29.0
2020-12-11 21:38:34,23,34,23.5,29.0
2020-12-11 21:38:40,24,36,23.5,29.0
2020-12-11 21:38:45,23,29,23.5,29.0
2020-12-11 21:38:50,25,29,23.5,29.0
2020-12-11 21:38:56,25,33,23.5,29.0
2020-12-11 21:39:01,26,34,23.5,29.0
2020-12-11 21:39:07,24,29,23.5,29.0
2020-12-11 21:39:12,26,28,23.5,29.0
2020-12-11 21:39:18,23,29,23.4,29.0
2020-12-11 21:39:23,22,31,23.5,29.1
2020-12-11 21:39:28,22,33,23.5,29.1
2020-12-11 21:39:33,23,34,23.5,29.0
2020-12-11 21:39:39,23,28,23.5,29.1
2020-12-11 21:39:44,24,26,23.4,29.0
2020-12-11 21:39:50,24,25,23.5,29.1
2020-12-11 21:39:55,25,26,23.4,29.0
2020-12-11 21:40:00,23,32,23.5,29.0
2020-12-11 21:40:05,24,32,23.4,29.0
2020-12-11 21:40:11,23,33,23.4,29.0
2020-12-11 21:40:16,25,35,23.5,29.0
2020-12-11 21:40:22,28,34,23.5,29.0
2020-12-11 21:40:27,27,31,23.4,29.0
2020-12-11 21:40:33,25,28,23.4,29.0
2020-12-11 21:40:38,24,26,23.5,29.0
2020-12-11 21:40:43,24,33,23.5,29.1
2020-12-11 21:40:49,24,33,23.4,29.0
2020-12-11 21:40:54,23,28,23.5,29.1
2020-12-11 21:40:59,24,29,23.4,29.0
2020-12-11 21:41:05,22,29,23.5,29.1
2020-12-11 21:41:10,24,30,23.4,29.0
2020-12-11 21:41:16,28,34,23.5,29.1
2020-12-11 21:41:21,30,33,23.4,29.0
2020-12-11 21:41:26,25,33,23.4,29.0
2020-12-11 21:41:32,26,33,23.5,29.0
2020-12-11 21:41:37,27,35,23.5,29.1
2020-12-11 21:41:43,26,30,23.4,29.0
2020-12-11 21:41:48,25,29,23.4,29.0
2020-12-11 21:41:53,25,29,23.5,29.1
2020-12-11 21:41:59,25,31,23.5,29.1
2020-12-11 21:42:04,23,30,23.4,29.0
2020-12-11 21:42:10,24,24,23.4,29.0
2020-12-11 21:42:15,24,24,23.4,29.0
2020-12-11 21:42:21,23,27,23.4,29.0
2020-12-11 21:42:26,22,27,23.4,29.1
2020-12-11 21:42:32,26,28,23.4,29.0
2020-12-11 21:42:37,26,29,23.4,29.1
2020-12-11 21:42:42,24,31,23.4,29.1
2020-12-11 21:42:48,24,31,23.4,29.1
2020-12-11 21:42:53,22,28,23.4,29.1
2020-12-11 21:42:58,22,27,23.4,29.1
2020-12-11 21:43:04,24,36,23.4,29.1
2020-12-11 21:43:09,25,36,23.4,29.1
2020-12-11 21:43:14,27,34,23.4,29.1
2020-12-11 21:43:20,27,31,23.4,29.1
2020-12-11 21:43:25,24,30,23.4,29.1
2020-12-11 21:43:30,24,28,23.4,29.1
2020-12-11 21:43:36,20,28,23.4,29.1
2020-12-11 21:43:41,21,27,23.4,29.1
2020-12-11 21:43:46,24,29,23.4,29.1
2020-12-11 21:43:52,25,27,23.4,29.1
2020-12-11 21:43:57,27,29,23.4,29.1
2020-12-11 21:44:02,28,29,23.4,29.1
2020-12-11 21:44:08,28,29,23.4,29.1
2020-12-11 21:44:13,28,29,23.4,29.1
2020-12-11 21:44:18,25,29,23.4,29.1
2020-12-11 21:44:24,25,30,23.4,29.1
2020-12-11 21:44:29,29,36,23.4,29.1
2020-12-11 21:44:35,28,35,23.3,29.1
2020-12-11 21:44:40,26,30,23.3,29.0
2020-12-11 21:44:46,25,29,23.4,29.1
2020-12-11 21:44:51,24,25,23.4,29.1
2020-12-11 21:44:56,24,28,23.4,29.1
2020-12-11 21:45:02,24,31,23.4,29.1
